DBN,School Type,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
29Q134,Elementary School,P.S. 134 Hollis,28%,63%,N/A,78%,73%,86%,85%,79%,84%,93%,N/A,77%
29Q135,Elementary School,The Bellaire School,20%,72%,N/A,69%,55%,81%,79%,81%,79%,89%,N/A,69%
29Q136,Elementary School,P.S. 136 Roy Wilkins,83%,100%,N/A,84%,77%,94%,83%,92%,84%,91%,N/A,84%
29Q138,Elementary/Middle,P.S./ M.S.138 Sunrise,45%,85%,96%,86%,82%,86%,81%,79%,87%,88%,77%,87%
29Q147,Elementary/Middle,PS/MS 147 Ronald McNair,47%,58%,97%,72%,65%,85%,72%,90%,82%,83%,92%,72%
29Q156,Elementary/Middle,P.S. 156 Laurelton,64%,89%,96%,92%,81%,91%,82%,82%,89%,88%,78%,92%
29Q176,Elementary School,P.S. 176 Cambria Heights,45%,95%,N/A,94%,86%,96%,87%,94%,94%,92%,N/A,93%
29Q181,Elementary School,P.S. 181 Brookfield,44%,70%,N/A,84%,82%,84%,86%,89%,93%,93%,N/A,85%
29Q192,Middle School,I.S. 192 The Linden,79%,47%,54%,95%,90%,92%,98%,92%,96%,99%,91%,93%
29Q195,Elementary School,P.S. 195 William Haberle,88%,98%,N/A,94%,91%,93%,97%,93%,95%,97%,N/A,93%
29Q208,Elementary/Middle,P.S. / I.S. 208,84%,90%,93%,93%,84%,94%,83%,88%,91%,88%,86%,93%
29Q238,Middle/High,I.S. 238 - Susan B. Anthony Academy,17%,82%,19%,79%,75%,81%,73%,80%,87%,86%,80%,79%
29Q243,High School,Institute for Health Professions at Cambria Heights,16%,100%,91%,98%,98%,86%,78%,85%,95%,93%,83%,97%
29Q248,High School,Queens Preparatory Academy,26%,26%,74%,87%,80%,90%,68%,74%,81%,75%,73%,88%
29Q251,Early Childhood,P.S. 251 Queens,50%,100%,N/A,88%,77%,88%,86%,95%,91%,95%,N/A,85%
29Q259,Middle/High,Pathways College Preparatory School: A College Board School,34%,84%,74%,83%,76%,86%,75%,84%,85%,85%,83%,83%
29Q265,High School,Excelsior Preparatory High School,9%,100%,81%,94%,87%,89%,76%,80%,91%,85%,78%,93%
29Q268,Elementary/Middle,PS/IS 268,35%,60%,97%,83%,73%,91%,78%,88%,82%,85%,86%,82%
29Q270,Elementary/Middle,The Gordon Parks School,48%,87%,98%,78%,73%,91%,82%,87%,84%,90%,84%,80%
29Q272,High School,George Washington Carver High School for the Sciences,18%,82%,85%,91%,85%,84%,76%,79%,92%,86%,76%,91%
29Q283,Middle/High,Preparatory Academy for Writers: A College Board School,6%,91%,57%,93%,92%,94%,81%,88%,91%,92%,86%,93%
29Q289,Middle School,Queens United Middle School,63%,100%,90%,86%,84%,75%,84%,85%,91%,90%,83%,85%
29Q295,Elementary/Middle,P.S./I.S. 295,81%,84%,99%,85%,69%,95%,81%,87%,82%,85%,85%,83%
29Q313,High School,Benjamin Franklin High School for Finance & Information Technology,31%,100%,83%,96%,98%,88%,86%,78%,93%,94%,74%,97%
29Q326,High School,Cambria Heights Academy,44%,100%,92%,72%,69%,75%,76%,75%,78%,88%,74%,70%
29Q327,Middle/High,Eagle Academy for Young Men III,25%,32%,29%,66%,61%,81%,84%,81%,80%,92%,82%,66%
29Q355,Middle School,Collaborative Arts Middle School,41%,91%,91%,91%,90%,84%,80%,78%,89%,87%,76%,91%
29Q356,Middle School,Community Voices Middle School,22%,80%,89%,85%,87%,81%,75%,84%,90%,86%,83%,86%
29Q492,High School,"Mathematics, Science Research and Technology Magnet High School",57%,63%,79%,79%,74%,78%,70%,78%,84%,81%,80%,78%
29Q494,High School,"Law, Government and Community Service High School",7%,73%,65%,83%,80%,90%,86%,77%,89%,92%,73%,85%
29Q496,High School,"Business, Computer Applications & Entrepreneurship High School",16%,67%,94%,57%,48%,75%,79%,73%,70%,83%,72%,56%
29Q498,High School,Humanities & Arts Magnet High School,31%,87%,84%,77%,76%,79%,73%,76%,84%,84%,74%,79%
30Q002,Elementary School,P.S. 002 Alfred Zimberg,37%,100%,N/A,95%,88%,99%,84%,98%,93%,89%,N/A,96%
30Q010,Middle School,I.S. 010 Horace Greeley,55%,100%,95%,95%,88%,93%,70%,88%,93%,85%,86%,95%
30Q011,Elementary School,P.S. 011 Kathryn Phelan,60%,66%,98%,90%,85%,91%,85%,92%,94%,93%,92%,91%
30Q017,Elementary School,P.S. 017 Henry David Thoreau,75%,64%,N/A,90%,78%,91%,88%,90%,95%,94%,N/A,88%
30Q069,Elementary School,P.S. 069 Jackson Heights,59%,100%,N/A,90%,80%,91%,85%,94%,94%,94%,N/A,89%
30Q070,Elementary School,P.S. 070 Queens,48%,39%,N/A,76%,62%,88%,78%,90%,78%,87%,N/A,76%
30Q076,Elementary School,P.S. 076 William Hallet,32%,88%,N/A,82%,75%,82%,76%,86%,83%,85%,N/A,81%
30Q078,Elementary/Middle,P.S./I.S. 78Q,46%,67%,92%,97%,89%,96%,89%,87%,93%,91%,85%,97%
30Q084,Elementary/Middle,P.S. 084 Steinway,73%,100%,100%,89%,83%,95%,84%,89%,92%,91%,88%,90%
30Q085,Elementary School,P.S. 085 Judge Charles Vallone,44%,56%,N/A,87%,70%,97%,84%,95%,83%,89%,N/A,86%
30Q092,Elementary School,P.S. 092 Harry T. Stewart Sr.,73%,83%,N/A,90%,79%,90%,83%,91%,96%,93%,N/A,89%
30Q111,Elementary/Middle,P.S. 111 Jacob Blackwell,32%,100%,99%,84%,76%,87%,78%,84%,83%,89%,81%,82%
30Q112,Elementary School,P.S. 112 Dutch Kills,57%,100%,N/A,91%,82%,93%,86%,93%,93%,94%,N/A,89%
30Q122,Elementary/Middle,P.S. 122 Mamie Fay,94%,91%,100%,86%,71%,90%,78%,91%,92%,89%,89%,85%
30Q126,Middle School,Albert Shanker School for Visual and Performing Arts,25%,65%,86%,97%,93%,90%,81%,91%,96%,92%,90%,96%
30Q127,Elementary/Middle,P.S. 127 Aerospace Science Magne,19%,61%,95%,72%,52%,88%,76%,87%,77%,86%,86%,67%
30Q141,Middle School,I.S. 141 The Steinway,95%,96%,98%,89%,78%,89%,73%,85%,87%,87%,82%,86%
30Q145,Middle School,I.S. 145 Joseph Pulitzer,83%,90%,99%,85%,74%,87%,76%,86%,86%,89%,84%,82%
30Q148,Elementary School,P.S. 148 Queens,54%,90%,N/A,60%,39%,76%,78%,82%,71%,89%,N/A,58%
30Q149,Elementary School,P.S. 149 Christa Mcauliffe,69%,100%,N/A,92%,86%,89%,82%,93%,94%,93%,N/A,91%
30Q150,Elementary School,P.S. 150 Queens,62%,68%,98%,81%,64%,94%,81%,93%,84%,90%,91%,81%
30Q151,Elementary School,P.S. 151 Mary D. Carter,56%,79%,N/A,94%,87%,90%,84%,91%,93%,91%,N/A,92%
30Q152,Elementary School,P.S. 152 Gwendoline N. Alleyne School,40%,38%,98%,86%,74%,91%,79%,94%,91%,91%,93%,85%
30Q166,Elementary School,P.S. 166 Henry Gradstein,52%,58%,N/A,90%,83%,91%,83%,94%,90%,90%,N/A,90%
30Q171,Elementary School,P.S. 171 Peter G. Van Alst,58%,67%,N/A,92%,80%,93%,81%,92%,93%,88%,N/A,90%
30Q204,Middle School,I.S. 204 Oliver W. Holmes,43%,92%,97%,76%,68%,79%,76%,83%,80%,87%,82%,73%
30Q212,Elementary School,P.S. 212,75%,93%,N/A,95%,88%,96%,85%,95%,95%,93%,N/A,94%
30Q222,Early Childhood,P.S. Q222 - Fire Fighter Christopher A. Santora School,80%,100%,N/A,89%,85%,97%,84%,96%,94%,94%,N/A,90%
30Q227,Middle School,I.S. 227 Louis Armstrong,76%,75%,97%,96%,93%,94%,75%,90%,95%,88%,89%,96%
30Q228,Early Childhood,P.S. 228 Early Childhood Magnet School of the Arts,75%,73%,N/A,92%,86%,93%,86%,99%,96%,94%,N/A,92%
30Q230,Middle School,I.S. 230,55%,74%,97%,91%,85%,90%,74%,87%,92%,89%,85%,91%
30Q234,Elementary School,P.S. 234,78%,57%,N/A,87%,82%,93%,83%,95%,89%,91%,N/A,89%
30Q235,Middle School,Academy for New Americans,97%,100%,99%,96%,92%,93%,84%,96%,96%,94%,95%,95%
30Q258,High School,Energy Tech High School,31%,94%,87%,98%,97%,92%,80%,86%,95%,93%,82%,98%
30Q280,Elementary School,P.S. 280,56%,95%,N/A,90%,79%,86%,86%,93%,95%,94%,N/A,89%
30Q286,Middle/High,"Young Women's Leadership School, Astoria",59%,92%,95%,95%,78%,90%,74%,91%,87%,88%,91%,87%
30Q291,Middle School,Hunters Point Community Middle School,52%,100%,87%,94%,97%,88%,85%,85%,92%,93%,82%,95%
30Q300,Elementary School,The 30th Avenue School (G&T Citywide),73%,100%,100%,97%,95%,94%,93%,95%,99%,96%,93%,97%
30Q301,High School,Academy for Careers in Television and Film,75%,100%,95%,98%,97%,91%,81%,89%,95%,92%,87%,97%
30Q329,Early Childhood,East Elmhurst Community School,90%,100%,N/A,98%,93%,93%,90%,99%,99%,96%,N/A,96%
30Q445,High School,William Cullen Bryant High School,13%,35%,65%,71%,60%,79%,63%,76%,72%,77%,76%,68%
30Q450,High School,Long Island City High School,37%,81%,77%,87%,79%,87%,65%,82%,87%,79%,81%,87%
30Q501,High School,Frank Sinatra School of the Arts High School,27%,92%,92%,87%,79%,84%,75%,88%,90%,88%,83%,86%
30Q502,High School,Information Technology High School,8%,91%,83%,84%,79%,85%,72%,81%,87%,88%,79%,84%
30Q555,High School,Newcomers High School,28%,92%,86%,87%,76%,88%,74%,85%,89%,87%,84%,85%
30Q575,High School,Academy of American Studies,29%,69%,96%,87%,72%,83%,69%,88%,87%,86%,85%,82%
30Q580,Middle/High,Baccalaureate School for Global Education,37%,65%,92%,81%,74%,88%,70%,90%,89%,88%,87%,81%
31R001,Elementary School,P.S. 001 Tottenville,63%,92%,N/A,91%,81%,96%,87%,97%,92%,93%,N/A,91%
31R002,Middle School,I.S. R002 George L. Egbert,41%,86%,98%,92%,78%,83%,75%,82%,89%,85%,78%,89%
31R003,Elementary School,P.S. 003 The Margaret Gioiosa School,71%,76%,N/A,72%,51%,87%,83%,90%,71%,89%,N/A,71%
31R004,Elementary School,P.S. 004 Maurice Wollin,100%,98%,N/A,96%,90%,95%,84%,98%,96%,92%,N/A,95%
31R005,Elementary School,P.S. 005 Huguenot,69%,100%,N/A,99%,96%,100%,90%,100%,96%,92%,N/A,100%
31R006,Elementary School,P.S. 6 Corporal Allan F. Kivlehan School,76%,77%,N/A,88%,69%,90%,84%,96%,81%,85%,N/A,85%
31R007,Middle School,I.S. 007 Elias Bernstein,74%,68%,97%,93%,84%,94%,76%,88%,91%,89%,85%,92%
31R008,Elementary School,P.S. 8 Shirlee Solomon,85%,94%,N/A,97%,87%,97%,87%,95%,97%,93%,N/A,95%
31R009,Early Childhood,Naples Street Elementary School,95%,100%,N/A,100%,98%,96%,92%,99%,99%,96%,N/A,99%
31R010,Early Childhood,Fort Hill Collaborative Elementary School,41%,100%,N/A,100%,99%,89%,89%,94%,100%,96%,N/A,98%
31R011,Elementary School,P.S. 11 Thomas Dongan School,55%,84%,N/A,86%,77%,93%,88%,85%,87%,92%,N/A,84%
31R013,Elementary School,P.S. 013 M. L. Lindemeyer,28%,50%,N/A,93%,85%,94%,88%,95%,94%,94%,N/A,92%
31R014,Elementary School,P.S. 014 Cornelius Vanderbilt,22%,50%,N/A,87%,81%,82%,79%,89%,90%,81%,N/A,87%
31R016,Elementary School,P.S. 016 John J. Driscoll,28%,66%,N/A,87%,74%,95%,83%,90%,89%,89%,N/A,86%
31R018,Elementary School,P.S. 018 John G. Whittier,37%,66%,N/A,81%,72%,89%,83%,84%,86%,90%,N/A,80%
31R019,Elementary School,P.S. 019 The Curtis School,66%,88%,N/A,89%,75%,89%,85%,91%,91%,93%,N/A,87%
31R020,Elementary School,P.S. 020 Port Richmond,61%,95%,N/A,89%,85%,86%,84%,92%,90%,92%,N/A,88%
31R021,Elementary School,P.S. 21 Margaret Emery-Elm Park,60%,97%,N/A,91%,78%,98%,82%,95%,87%,89%,N/A,90%
31R022,Elementary School,P.S. 022 Graniteville,27%,81%,N/A,86%,66%,85%,80%,87%,89%,91%,N/A,81%
31R023,Elementary School,P.S. 023 Richmondtown,58%,92%,N/A,97%,92%,95%,88%,95%,97%,95%,N/A,96%
31R024,Middle School,I.S. 024 Myra S. Barnes,72%,77%,98%,90%,83%,90%,73%,82%,89%,88%,77%,90%
31R026,Elementary School,P.S. 026 The Carteret School,70%,100%,N/A,99%,94%,99%,89%,97%,99%,95%,N/A,98%
31R027,Middle School,I.S. 027 Anning S. Prall,46%,100%,78%,87%,75%,84%,69%,79%,86%,83%,76%,85%
31R028,Middle School,The Eagle Academy for Young Men of Staten Island,82%,100%,98%,87%,90%,93%,87%,91%,91%,96%,91%,88%
31R029,Elementary School,P.S. 029 Bardwell,79%,98%,N/A,95%,88%,94%,97%,97%,96%,98%,N/A,94%
31R030,Elementary School,P.S. 030 Westerleigh,88%,84%,N/A,97%,89%,95%,84%,96%,96%,91%,N/A,96%
31R031,Elementary School,P.S. 031 William T. Davis,49%,75%,N/A,90%,78%,89%,85%,89%,93%,91%,N/A,87%
31R032,Elementary School,P.S. 032 The Gifford School,80%,89%,N/A,90%,83%,88%,86%,93%,90%,90%,N/A,89%
31R034,Middle School,I.S. 034 Tottenville,86%,100%,99%,85%,78%,90%,72%,84%,87%,90%,81%,84%
31R035,Elementary School,P.S. 35 The Clove Valley School,85%,91%,N/A,96%,85%,99%,87%,99%,96%,93%,N/A,95%
31R036,Elementary School,P.S. 036 J. C. Drumgoole,47%,72%,N/A,85%,69%,89%,84%,91%,83%,91%,N/A,83%
31R038,Elementary School,P.S. 038 George Cromwell,88%,59%,N/A,92%,84%,98%,82%,96%,90%,90%,N/A,91%
31R039,Elementary School,P.S. 39 Francis J. Murphy Jr.,44%,100%,N/A,93%,85%,97%,86%,97%,94%,93%,N/A,93%
31R041,Elementary School,P.S. 041 New Dorp,69%,72%,N/A,87%,78%,93%,83%,89%,85%,91%,N/A,85%
31R042,Elementary School,P.S. 042 Eltingville,64%,93%,N/A,95%,84%,96%,86%,97%,96%,94%,N/A,93%
31R044,Elementary School,P.S. 044 Thomas C. Brown,61%,76%,N/A,85%,72%,89%,81%,87%,90%,91%,N/A,84%
31R045,Elementary School,P.S. 045 John Tyler,32%,68%,N/A,87%,79%,91%,88%,88%,88%,93%,N/A,85%
31R046,Elementary School,P.S. 046 Albert V. Maniscalco,73%,89%,N/A,93%,87%,94%,84%,96%,98%,91%,N/A,94%
31R047,High School,CSI High School for International Studies,70%,78%,94%,92%,90%,87%,78%,88%,92%,90%,85%,92%
31R048,Elementary/Middle,P.S. 048 William G. Wilcox,63%,70%,99%,93%,92%,94%,87%,88%,94%,94%,86%,94%
31R049,Middle School,I.S. 49 Berta A. Dreyfus,55%,88%,88%,80%,69%,81%,68%,82%,84%,82%,81%,79%
31R050,Elementary School,P.S. 050 Frank Hankinson,58%,100%,N/A,95%,90%,96%,86%,97%,96%,94%,N/A,95%
31R051,Middle School,I.S. 051 Edwin Markham,23%,77%,95%,86%,80%,85%,77%,80%,88%,89%,76%,86%
31R052,Elementary School,P.S. 052 John C. Thompson,72%,92%,N/A,93%,85%,93%,86%,94%,94%,92%,N/A,92%
31R053,Elementary School,P.S. 053 Bay Terrace,82%,100%,N/A,97%,91%,98%,87%,99%,96%,94%,N/A,97%
31R054,Elementary School,P.S. 054 Charles W. Leng,46%,100%,N/A,82%,67%,90%,82%,92%,85%,90%,N/A,81%
31R055,Elementary School,P.S. 055 Henry M. Boehm,81%,93%,N/A,91%,80%,95%,86%,89%,90%,92%,N/A,88%
31R056,Elementary School,P.S. 56 The Louis Desario School,70%,85%,N/A,89%,73%,93%,82%,93%,88%,88%,N/A,87%
31R057,Elementary School,P.S. 057 Hubert H. Humphrey,40%,93%,N/A,91%,82%,92%,84%,89%,94%,92%,N/A,89%
31R058,Elementary School,Space Shuttle Columbia School,100%,91%,N/A,97%,88%,96%,81%,94%,97%,92%,N/A,95%
31R059,Early Childhood,The Harbor View School,54%,71%,N/A,99%,97%,100%,93%,100%,99%,96%,N/A,99%
31R060,Elementary School,P.S. 060 Alice Austen,68%,100%,N/A,84%,78%,85%,84%,91%,88%,92%,N/A,84%
31R061,Middle School,I.S. 061 William A Morris,38%,95%,91%,85%,75%,81%,74%,81%,86%,85%,79%,83%
31R063,Middle School,Marsh Avenue School for Expeditionary Learning,64%,90%,96%,88%,85%,94%,76%,90%,86%,88%,89%,88%
31R064,High School,Gaynor McCown Expeditionary Learning School,50%,69%,95%,84%,82%,89%,71%,82%,88%,86%,79%,86%
31R065,Elementary School,P.S. 65 The Academy of Innovative Learning,59%,70%,N/A,97%,90%,98%,89%,98%,97%,96%,N/A,96%
31R069,Elementary School,P.S. 069 Daniel D. Tompkins,92%,100%,N/A,94%,86%,98%,82%,96%,92%,90%,N/A,94%
31R072,Middle School,I.S. 072 Rocco Laurie,85%,100%,96%,93%,87%,89%,69%,86%,93%,85%,83%,93%
31R074,Elementary School,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,75%,53%,N/A,83%,76%,83%,86%,81%,88%,91%,N/A,81%
31R075,Middle School,I.S. 075 Frank D. Paulo,80%,100%,97%,94%,90%,92%,74%,85%,92%,90%,82%,94%
31R078,Elementary School,PS 78,43%,31%,N/A,90%,85%,91%,84%,77%,94%,92%,N/A,86%
31R080,Elementary/Middle/High,The Michael J. Petrides School,60%,90%,96%,92%,90%,93%,80%,87%,92%,89%,85%,93%
31R440,High School,New Dorp High School,26%,100%,80%,92%,89%,86%,70%,82%,92%,87%,79%,92%
31R445,High School,Port Richmond High School,27%,91%,71%,89%,85%,89%,75%,80%,91%,88%,77%,89%
31R450,High School,Curtis High School,35%,79%,75%,82%,74%,76%,66%,78%,84%,81%,76%,79%
31R455,High School,Tottenville High School,33%,89%,85%,81%,71%,79%,67%,80%,82%,84%,77%,78%
31R460,High School,Susan E. Wagner High School,45%,90%,75%,86%,79%,87%,66%,82%,88%,84%,80%,86%
31R470,Transfer High School,Concord High School,23%,100%,88%,94%,91%,77%,73%,86%,97%,91%,83%,92%
31R600,High School,Ralph R. McKee Career and Technical Education High School,40%,100%,90%,79%,79%,82%,65%,78%,84%,84%,75%,80%
31R605,High School,Staten Island Technical High School,86%,89%,98%,94%,92%,91%,68%,95%,96%,90%,93%,93%
31R607,YABC,Staten Island Yabc,5%,76%,43%,97%,95%,89%,70%,92%,98%,90%,92%,95%
31R861,Elementary/Middle,Staten Island School of Civic Leadership,46%,94%,98%,91%,82%,94%,81%,85%,90%,92%,83%,89%
32K045,Elementary/Middle,P.S./I.S. 045 Horace E. Greene,81%,84%,99%,89%,78%,90%,85%,95%,94%,94%,95%,87%
32K075,Elementary School,P.S. 075 Mayda Cortiella,30%,90%,N/A,87%,71%,91%,81%,87%,83%,84%,N/A,85%
32K086,Elementary School,P.S. 086 The Irvington,85%,100%,N/A,95%,92%,93%,85%,95%,99%,95%,N/A,95%
32K106,Elementary School,P.S. 106 Edward Everett Hale,53%,91%,N/A,94%,86%,96%,83%,96%,96%,91%,N/A,94%
32K116,Elementary School,P.S. 116 Elizabeth L Farrell,62%,80%,N/A,81%,63%,90%,79%,90%,83%,91%,N/A,78%
32K123,Elementary School,P.S. 123 Suydam,88%,95%,N/A,94%,88%,90%,89%,94%,97%,95%,N/A,93%
32K145,Elementary School,P.S. 145 Andrew Jackson,59%,100%,N/A,91%,83%,91%,82%,93%,96%,91%,N/A,91%
32K151,Elementary School,P.S. 151 Lyndon B. Johnson,80%,78%,N/A,85%,78%,84%,87%,87%,89%,94%,N/A,83%
32K162,Middle School,J.H.S. 162 The Willoughby,39%,83%,89%,83%,78%,89%,77%,84%,86%,88%,81%,84%
32K168,High School,The Brooklyn School for Math and Research,68%,100%,86%,90%,87%,87%,84%,81%,92%,89%,78%,92%
32K274,Elementary School,P.S. 274 Kosciusko,59%,100%,N/A,88%,81%,91%,85%,95%,93%,93%,N/A,89%
32K291,Middle School,J.H.S. 291 Roland Hayes,61%,81%,89%,97%,89%,96%,78%,88%,93%,86%,87%,96%
32K299,Elementary School,P.S. 299 Thomas Warren Field,100%,90%,N/A,92%,85%,95%,98%,93%,93%,98%,N/A,91%
32K347,Middle School,I.S. 347 School of Humanities,38%,100%,83%,90%,84%,86%,81%,82%,93%,89%,81%,90%
32K349,Middle School,"I.S. 349 Math, Science & Tech.",62%,79%,97%,91%,79%,85%,78%,83%,92%,89%,82%,89%
32K376,Elementary School,P.S. 376,86%,90%,N/A,97%,92%,96%,81%,98%,95%,91%,N/A,97%
32K377,Elementary/Middle,P.S. 377 Alejandrina B. De Gautier,62%,87%,97%,85%,73%,90%,81%,85%,89%,87%,84%,86%
32K383,Middle School,J.H.S. 383 Philippa Schuyler,43%,54%,93%,90%,84%,89%,77%,85%,92%,89%,82%,90%
32K384,Elementary/Middle,P.S. /I.S. 384 Frances E. Carter,87%,100%,99%,91%,78%,88%,79%,93%,92%,88%,93%,88%
32K403,High School,Academy for Environmental Leadership,59%,97%,86%,77%,66%,78%,73%,82%,84%,85%,83%,74%
32K545,High School,EBC High School for Public Service - Bushwick,39%,59%,96%,77%,78%,80%,74%,83%,86%,90%,81%,78%
32K549,High School,Bushwick School for Social Justice,39%,91%,84%,92%,90%,87%,81%,83%,93%,88%,82%,93%
32K552,High School,Academy of Urban Planning,61%,100%,90%,93%,86%,86%,78%,81%,91%,88%,80%,92%
32K554,Middle/High,All City Leadership Secondary School,38%,100%,94%,99%,92%,92%,83%,96%,98%,94%,94%,97%
32K556,High School,Bushwick Leaders High School for Academic Excellence,25%,86%,84%,83%,81%,83%,82%,83%,89%,92%,81%,83%
32K562,Middle School,Evergreen Middle School for Urban Exploration,62%,94%,98%,95%,92%,88%,79%,89%,95%,89%,88%,94%
32K564,Transfer High School,Bushwick Community High School,71%,100%,94%,91%,87%,92%,88%,91%,94%,96%,91%,89%
75K004,District 75,P.S. K004,43%,58%,N/A,87%,78%,75%,84%,96%,89%,93%,N/A,83%
75K036,District 75,P.S. 36,58%,80%,91%,90%,85%,87%,94%,82%,93%,98%,80%,90%
75K053,District 75,P.S. K053,52%,91%,96%,90%,82%,86%,86%,98%,93%,95%,98%,86%
75K077,District 75,P.S. K077,40%,59%,98%,80%,72%,81%,81%,92%,86%,91%,94%,77%
75K140,District 75,P.S. K140,37%,59%,74%,83%,74%,82%,81%,81%,85%,89%,81%,81%
75K141,District 75,P.S. K141,39%,49%,0%,83%,73%,78%,80%,91%,88%,91%,N/A,80%
75K231,District 75,P.S. K231,51%,95%,100%,84%,70%,79%,84%,92%,89%,91%,92%,79%
75K368,District 75,P.S. 368,21%,84%,30%,90%,87%,86%,86%,83%,95%,92%,83%,90%
75K369,District 75,P.S. K369 - Coy L. Cox School,24%,67%,77%,90%,79%,77%,79%,88%,91%,89%,87%,86%
75K370,District 75,P.S. 370,25%,70%,73%,79%,67%,77%,83%,92%,88%,91%,95%,75%
75K371,District 75,P.S. 371 - Lillian L. Rashkis,45%,67%,61%,84%,82%,84%,82%,86%,91%,96%,85%,83%
75K372,District 75,P.S. 372 -The Children's School,37%,49%,N/A,96%,96%,96%,93%,99%,97%,93%,N/A,97%
75K373,District 75,P.S. 373 - Brooklyn Transition Center,44%,85%,100%,91%,83%,83%,83%,89%,91%,93%,88%,87%
75K396,District 75,P.S. K396,27%,48%,100%,90%,84%,81%,85%,88%,92%,93%,88%,87%
75K721,District 75,P.S. K721 - Brooklyn Occupational Training Center,24%,72%,100%,85%,78%,80%,78%,92%,90%,91%,92%,82%
75K753,District 75,P.S. K753 - School for Career Development,58%,69%,80%,86%,88%,83%,96%,80%,93%,99%,76%,88%
75K771,District 75,P.S. K771,41%,76%,99%,92%,83%,86%,83%,94%,93%,92%,94%,89%
75K811,District 75,P.S. K811 Connie Lekas School,23%,74%,100%,91%,84%,90%,85%,89%,91%,92%,89%,89%
75M035,District 75,P.S. 035,5%,67%,33%,80%,80%,77%,82%,82%,90%,94%,82%,78%
75M079,District 75,P.S. M079 - Horan School,23%,41%,95%,82%,74%,80%,77%,81%,86%,88%,81%,80%
75M094,District 75,P.S. M094,32%,50%,80%,86%,71%,76%,86%,94%,88%,92%,94%,80%
75M138,District 75,P.S. 138,23%,50%,60%,82%,70%,79%,85%,87%,89%,93%,87%,80%
75M169,District 75,P.S. M169 - Robert F. Kennedy,82%,65%,96%,85%,77%,79%,87%,86%,92%,95%,85%,83%
75M226,District 75,P.S. M226,42%,92%,100%,81%,70%,86%,87%,95%,89%,93%,95%,80%
75M721,District 75,P.S. M721 - Manhattan Occupational Training Center,64%,85%,99%,84%,81%,82%,79%,93%,94%,91%,94%,84%
75M751,District 75,Manhattan School for Career Development,51%,100%,99%,95%,93%,96%,80%,90%,95%,92%,90%,95%
75M811,District 75,P.S. M811 - Mickey Mantle School,43%,44%,85%,91%,81%,89%,92%,98%,96%,95%,99%,88%
75Q004,District 75,P.S. Q004,56%,90%,100%,96%,92%,87%,83%,92%,97%,95%,92%,94%
75Q009,District 75,P.S. 009,16%,45%,69%,76%,66%,74%,76%,86%,83%,88%,88%,71%
75Q023,District 75,P.S. Q023 @ Queens Children Center,18%,44%,74%,79%,72%,71%,77%,76%,85%,85%,74%,78%
75Q075,District 75,Robert E. Peary School,21%,46%,95%,83%,75%,77%,76%,92%,91%,87%,93%,80%
75Q177,District 75,P.S. Q177,46%,73%,98%,91%,88%,79%,84%,95%,97%,94%,96%,89%
75Q224,District 75,P.S. Q224,52%,85%,60%,92%,82%,76%,84%,95%,95%,94%,95%,87%
75Q233,District 75,P.S. Q233,29%,84%,92%,93%,84%,85%,85%,92%,93%,93%,92%,90%
75Q255,District 75,P.S. Q255,52%,70%,0%,92%,84%,75%,87%,98%,95%,95%,N/A,89%
75Q256,District 75,P.S. Q256,43%,86%,83%,88%,82%,76%,82%,85%,93%,93%,83%,86%
75Q277,District 75,The Riverview School,62%,97%,100%,96%,86%,76%,83%,81%,89%,88%,78%,92%
75Q721,District 75,John F. Kennedy Jr. School,36%,89%,100%,87%,81%,77%,81%,90%,91%,92%,89%,84%
75Q752,District 75,Queens Transition Center,15%,69%,77%,83%,69%,75%,71%,84%,86%,79%,85%,79%
75Q811,District 75,P.S. Q811,30%,73%,80%,92%,87%,76%,83%,88%,93%,91%,87%,89%
75Q993,District 75,P.S. Q993,39%,80%,74%,90%,80%,81%,84%,91%,95%,94%,90%,87%
75R025,District 75,South Richmond High School I.S./P.S. 25,24%,70%,53%,91%,87%,82%,82%,85%,94%,90%,84%,90%
75R037,District 75,P.S. R037,52%,83%,88%,85%,77%,71%,87%,85%,89%,92%,84%,80%
75R373,District 75,P.S. R373,29%,44%,94%,86%,73%,81%,83%,97%,90%,90%,98%,82%
75R721,District 75,THE RICHARD H. HUNGERFORD SCHOOL,55%,100%,100%,97%,93%,91%,83%,97%,98%,94%,97%,96%
75X010,District 75,P.S. X010,47%,89%,96%,89%,83%,78%,85%,92%,94%,94%,93%,87%
75X012,District 75,P.S. X012 Lewis and Clark School,14%,60%,89%,79%,63%,83%,73%,84%,83%,82%,84%,76%
75X017,District 75,P.S. X017,57%,88%,83%,78%,66%,76%,81%,88%,85%,91%,90%,73%
75X168,District 75,P.S. 168,28%,72%,75%,83%,72%,79%,82%,90%,88%,93%,90%,79%
75X176,District 75,P.S. X176,21%,43%,100%,85%,73%,73%,85%,91%,90%,94%,92%,79%
